"species","file","raw_rows","post_burnin_rows","kept","reason"
"Desmognathus_brimleyorum","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_brimleyorum","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_brimleyorum","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_carolinensis","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_carolinensis","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_carolinensis","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_carolinensis","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_carolinensis","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_carolinensis","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_carolinensis","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_carolinensis","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_conanti","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_13.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_14.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_folkertsi","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_13.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_14.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_fuscus","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_13.pars.log",5001,2001,TRUE,"kept"
